patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,5,8,1,8,8,210,Week22_Day9 (20.6.25)
1,4,6,1,6,7,229,Week22_Day9 (20.6.25)
2,4,4,1,4,12,263,Week22_Day9 (20.6.25)
3,4,12,1,12,18,510,Week22_Day9 (20.6.25)
4,8,7,1,7,11,298,Week22_Day9 (20.6.25)
5,8,1,1,1,19,0,Week22_Day9 (20.6.25)
6,8,2,1,2,29,119,Week22_Day9 (20.6.25)
7,4,7,1,7,8,250,Week22_Day9 (20.6.25)
8,4,0,1,0,NA,0,Week22_Day9 (20.6.25)
9,3,0,1,0,NA,0,Week22_Day9 (20.6.25)
10,4,7,1,7,30,220,Week22_Day9 (20.6.25)
11,4,5,1,5,14,187,Week22_Day9 (20.6.25)
12,8,2,1,2,35,74,Week22_Day9 (20.6.25)
13,8,4,1,4,11,140,Week22_Day9 (20.6.25)
14,8,2,1,2,27,17,Week22_Day9 (20.6.25)
15,8,2,1,2,39,89,Week22_Day9 (20.6.25)
16,8,4,1,4,72,221,Week22_Day9 (20.6.25)
17,4,5,1,5,7,259,Week22_Day9 (20.6.25)
18,4,6,1,6,10,229,Week22_Day9 (20.6.25)
19,4,4,1,4,9,236,Week22_Day9 (20.6.25)
20,8,3,1,3,15,139,Week22_Day9 (20.6.25)
21,8,7,1,7,18,211,Week22_Day9 (20.6.25)
22,8,5,1,5,14,120,Week22_Day9 (20.6.25)
23,8,2,1,2,254,7,Week22_Day9 (20.6.25)
24,4,4,1,4,28,906,Week22_Day9 (20.6.25)
25,8,6,1,6,9,105,Week22_Day9 (20.6.25)
